1|11537|0|bgp
1|21616|-1|bgp
1|34732|-1|bgp
1|41387|-1|bgp
1|42405|-1|bgp
1|43647|-1|bgp
1|44222|0|bgp
1|44912|-1|bgp
1|56964|-1|bgp
1|60408|-1|bgp
1|61974|-1|bgp
1|327926|0|bgp
2|9122|0|bgp
2|25535|-1|bgp
2|35711|-1|bgp
2|37628|0|bgp
2|50382|-1|bgp
2|57434|-1|bgp
3|293|0|bgp
3|14211|-1|bgp
3|52434|0|bgp
3|52947|0|bgp
3|131748|-1|bgp
3|132754|-1|bgp
3|133715|0|bgp
3|262493|0|bgp
3|262531|-1|bgp
3|263978|-1|bgp
4|45664|-1|bgp
5|264500|-1|bgp
6|3549|0|bgp
8|3549|0|bgp
8|45664|-1|bgp
8|61633|-1|bgp
10|46392|0|bgp
12|3549|0|bgp
14|3549|0|bgp
24|293|0|bgp
24|2153|0|bgp
24|7575|0|bgp
24|10343|-1|bgp
24|11537|0|bgp
26|47065|-1|bgp
32|3561|0|bgp
32|3671|-1|bgp
32|46750|-1|bgp
33|3549|0|bgp
34|2|-1|bgp
34|10466|0|bgp
35|5691|-1|bgp
42|27|-1|bgp
42|187|-1|bgp
42|251|0|bgp
42|260|0|mlp
42|293|0|bgp
42|553|0|bgp,mlp
42|701|0|bgp
42|715|-1|bgp
42|852|0|bgp
42|1103|0|bgp,mlp
42|1241|0|mlp
42|1267|0|bgp,mlp
42|1273|0|bgp
42|1290|0|mlp
42|1547|0|mlp
42|1680|0|mlp
42|1764|0|bgp,mlp
42|1836|0|bgp
42|1853|0|bgp
42|1916|0|bgp
42|2110|0|mlp
42|2134|0|mlp
42|2152|0|bgp
42|2381|0|bgp
42|2484|0|mlp
42|2497|0|bgp
42|2516|0|bgp
42|2603|0|bgp
42|2611|0|mlp
42|2635|0|mlp
42|2854|0|mlp
42|2857|0|mlp
42|2905|0|bgp
42|2906|0|mlp
42|3169|0|mlp
42|3213|0|mlp
42|3216|0|bgp
42|3223|0|mlp
42|3252|0|bgp,mlp
42|3255|0|mlp
42|3257|0|bgp
42|3267|0|bgp
42|3292|0|bgp
42|3327|0|mlp
42|3741|0|bgp,mlp
42|3856|0|mlp
42|4004|0|mlp
42|4181|0|bgp
42|4558|0|bgp
42|4589|0|bgp
